mangaid,ra,dec,nsa_z,frac_spx,flag1,flag2
1-113521,317.3887,11.50292,0.135043,0.0840249,False,0
1-113675,318.7756,10.09846,0.129881,0.1460674,False,0
1-121532,118.0911,34.32657,0.139965,0.368421,True,4
1-121737,118.2913,35.93252,0.113369,1.055877,False,0
1-149270,168.3009,50.26459,0.115761,0.9973238,False,0
1-156039,143.9407,49.02321,0.114699,1.033171,False,0
1-156158,144.476,50.9891,0.138619,0.1570397,False,0
1-167519,153.9147,44.65687,0.112397,0.644802,False,0
1-173904,166.158,49.67579,0.114195,1.051478,False,0
1-180298,322.2531,0.1826135,0.133437,0.005,False,0
1-209607,236.2993,47.04972,0.115634,1,False,0
1-210547,243.8303,42.03764,0.138583,0.280528,False,0
1-221789,153.5355,44.17575,0.113595,0.8620933,False,0
1-22948,254.5421,62.41565,0.119399,0.2359551,True,4
1-254717,156.3561,40.34832,0.11615,0.4245076,False,0
1-258425,182.9837,45.78993,0.112247,0.9097387,False,0
1-258599,186.181,44.41077,0.125582,0.4444444,True,4
1-25937,261.1156,56.29601,0.113153,0.9759563,False,0
1-269632,247.561,26.20647,0.131457,0.4272152,True,4
1-279123,169.6696,45.55273,0.112604,1.046087,False,0
1-281234,180.1727,43.35463,0.112711,0.9806178,False,0
1-282114,185.0377,47.13352,0.112681,0.8530466,False,0
1-284293,197.2393,45.90545,0.12908,0.3454861,True,3
1-286804,211.9049,44.48227,0.142887,0.2331731,True,4
1-316933,235.5401,28.25696,0.115776,0.7931689,False,0
1-322096,229.4931,44.07958,0.116315,0.7761194,False,0
1-322113,229.3089,44.01803,0.12226,0.01282051,False,0
1-338629,113.2669,42.47246,0.116056,0.5232945,False,0
1-338922,114.7757,44.40277,0.134471,0.1444292,True,3
1-339120,117.364,45.53292,0.129417,0.7866667,False,0
1-37679,48.57333,-0.6096963,0.115262,0.981405,False,0
1-377471,112.6448,42.32906,0.119678,0.2878788,False,0
1-43214,114.0964,39.43828,0.117997,0.5809859,False,0
1-48410,132.9777,52.90088,0.114568,0.9849295,False,0
1-487379,167.0898,22.66147,0.138746,0.02912621,False,0
1-48805,135.4207,56.10502,0.140985,0.01186944,True,3
1-548024,111.7337,41.02669,0.129403,0.2465753,True,4
1-564477,253.8879,38.06485,0.116163,0.1916859,False,0
1-569042,246.5611,46.37084,0.113262,1.046655,False,0
1-574402,115.3687,44.40879,0.131997,0.4662045,True,4
1-634093,249.5878,40.81721,0.133016,0.02066773,False,0
1-71481,117.456,34.88391,0.131157,0.3571429,False,0
1-72322,121.0142,40.80261,0.126168,0.3731203,True,4
1-73638,133.0353,51.31274,0.115137,0.896954,False,0
1-73667,133.0681,50.62724,0.112362,0.8815875,False,0
